County, State, Y, X
Bon Homme County,SD,142,214
Brookings County,SD,153,223
Brown County,SD,163,211
Brule County,SD,148,205
Buffalo County,SD,151,204
Butte County,SD,158,169
Campbell County,SD,165,197
Charles Mix County,SD,144,209
Clark County,SD,157,216
Clay County,SD,142,222
Codington County,SD,158,220
Corson County,SD,164,188
Custer County,SD,148,170
Davison County,SD,148,212
Day County,SD,161,217
Deuel County,SD,157,224
Dewey County,SD,160,191
Douglas County,SD,146,211
Edmunds County,SD,162,204
Fall River County,SD,144,169
Faulk County,SD,159,204
Grant County,SD,160,223
Gregory County,SD,144,204
Haakon County,SD,153,185
Hamlin County,SD,156,220
Hand County,SD,155,205
Hanson County,SD,148,215
Harding County,SD,163,170
Hughes County,SD,154,198
Hutchinson County,SD,145,215
Hyde County,SD,155,202
Jackson County,SD,148,184
Jerauld County,SD,151,208
Jones County,SD,150,192
Kingsbury County,SD,153,218
Lake County,SD,151,220
Lawrence County,SD,153,167
Lincoln County,SD,145,224
Lyman County,SD,150,199
McCook County,SD,148,219
McPherson County,SD,165,204
Marshall County,SD,165,217
Meade County,SD,155,176
Mellette County,SD,147,191
Miner County,SD,151,217
Minnehaha County,SD,148,223
Moody County,SD,151,224
Pennington County,SD,151,175
Perkins County,SD,162,178
Potter County,SD,159,198
Roberts County,SD,164,222
Sanborn County,SD,151,213
Shannon County,SD,145,177
Spink County,SD,158,211
Stanley County,SD,154,192
Sully County,SD,156,196
Todd County,SD,144,192
Tripp County,SD,145,198
Turner County,SD,145,220
Union County,SD,141,224
Walworth County,SD,162,197
Yankton County,SD,143,218
Ziebach County,SD,158,184
Anderson County,TN, 87,324
Bedford County,TN, 83,306
Benton County,TN, 87,293
Bledsoe County,TN, 83,316
Blount County,TN, 84,326
Bradley County,TN, 80,319
Campbell County,TN, 90,324
Cannon County,TN, 85,309
Carroll County,TN, 86,290
Carter County,TN, 89,340
Cheatham County,TN, 89,300
Chester County,TN, 82,289
Claiborne County,TN, 90,328
Clay County,TN, 91,313
Cocke County,TN, 86,333
Coffee County,TN, 82,309
Crockett County,TN, 85,284
Cumberland County,TN, 86,318
Davidson County,TN, 88,303
Decatur County,TN, 83,293
DeKalb County,TN, 86,311
Dickson County,TN, 88,299
Dyer County,TN, 87,282
Fayette County,TN, 80,282
Fentress County,TN, 90,318
Franklin County,TN, 80,309
Gibson County,TN, 86,286
Giles County,TN, 80,301
Grainger County,TN, 89,329
Greene County,TN, 88,335
Grundy County,TN, 82,312
Hamblen County,TN, 88,331
Hamilton County,TN, 80,316
Hancock County,TN, 91,332
Hardeman County,TN, 80,286
Hardin County,TN, 80,292
Hawkins County,TN, 90,334
Haywood County,TN, 83,283
Henderson County,TN, 84,290
Henry County,TN, 89,291
Hickman County,TN, 85,298
Houston County,TN, 89,296
Humphreys County,TN, 87,295
Jackson County,TN, 89,312
Jefferson County,TN, 87,330
Johnson County,TN, 90,343
Knox County,TN, 86,326
Lake County,TN, 89,282
Lauderdale County,TN, 85,280
Lawrence County,TN, 80,298
Lewis County,TN, 83,298
Lincoln County,TN, 80,305
Loudon County,TN, 84,323
McMinn County,TN, 82,321
McNairy County,TN, 80,289
Macon County,TN, 91,309
Madison County,TN, 83,287
Marion County,TN, 80,313
Marshall County,TN, 82,303
Maury County,TN, 83,301
Meigs County,TN, 83,319
Monroe County,TN, 82,323
Montgomery County,TN, 90,298
Moore County,TN, 81,307
Morgan County,TN, 88,320
Obion County,TN, 89,284
Overton County,TN, 89,315
Perry County,TN, 84,295
Pickett County,TN, 91,317
Polk County,TN, 79,321
Putnam County,TN, 88,314
Rhea County,TN, 83,318
Roane County,TN, 85,321
Robertson County,TN, 91,303
Rutherford County,TN, 85,306
Scott County,TN, 90,321
Sequatchie County,TN, 81,314
Sevier County,TN, 85,329
Shelby County,TN, 80,278
Smith County,TN, 89,310
Stewart County,TN, 91,295
Sullivan County,TN, 91,339
Sumner County,TN, 90,306
Tipton County,TN, 83,280
Trousdale County,TN, 90,308
Unicoi County,TN, 87,338
Union County,TN, 89,327
Van Buren County,TN, 84,314
Warren County,TN, 84,311
Washington County,TN, 89,338
Wayne County,TN, 80,295
Weakley County,TN, 89,288
White County,TN, 86,314
Williamson County,TN, 86,302
Wilson County,TN, 88,307
Anderson County,TX, 53,232
Andrews County,TX, 57,176
Angelina County,TX, 49,241
Aransas County,TX, 24,222
Archer County,TX, 67,208
Armstrong County,TX, 78,187
Atascosa County,TX, 30,209
Austin County,TX, 38,227
Bailey County,TX, 71,175
Bandera County,TX, 36,204
Bastrop County,TX, 39,219
Baylor County,TX, 67,204
Bee County,TX, 26,216
Bell County,TX, 47,218
Bexar County,TX, 34,209
Blanco County,TX, 41,210
Borden County,TX, 60,186
Bosque County,TX, 54,216
Bowie County,TX, 66,242
Brazoria County,TX, 32,234
Brazos County,TX, 44,227
Brewster County,TX, 37,171
Briscoe County,TX, 75,188
Brooks County,TX, 15,212
Brown County,TX, 53,206
Burleson County,TX, 42,225
Burnet County,TX, 45,212
Caldwell County,TX, 37,217
Calhoun County,TX, 28,226
Callahan County,TX, 57,203
Cameron County,TX, 10,219
Camp County,TX, 62,238
Carson County,TX, 82,187
Cass County,TX, 63,243
Castro County,TX, 75,179
Chambers County,TX, 36,241
Cherokee County,TX, 53,236
Childress County,TX, 75,196
Clay County,TX, 69,212
Cochran County,TX, 67,175
Coke County,TX, 54,193
Coleman County,TX, 53,202
Collin County,TX, 64,225
Collingsworth County,TX, 78,195
Colorado County,TX, 35,225
Comal County,TX, 37,211
Comanche County,TX, 54,209
Concho County,TX, 49,199
Cooke County,TX, 68,220
Coryell County,TX, 50,215
Cottle County,TX, 71,195
Crane County,TX, 50,177
Crockett County,TX, 44,186
Crosby County,TX, 67,187
Culberson County,TX, 50,161
Dallam County,TX, 89,177
Dallas County,TX, 61,223
Dawson County,TX, 60,182
Deaf Smith County,TX, 78,177
Delta County,TX, 66,232
Denton County,TX, 64,221
DeWitt County,TX, 31,219
Dickens County,TX, 67,191
Dimmit County,TX, 26,199
Donley County,TX, 78,191
Duval County,TX, 20,209
Eastland County,TX, 57,207
Ector County,TX, 53,177
Edwards County,TX, 38,195
Ellis County,TX, 57,223
El Paso County,TX, 53,148
Erath County,TX, 56,212
Falls County,TX, 49,222
Fannin County,TX, 67,229
Fayette County,TX, 38,222
Fisher County,TX, 60,194
Floyd County,TX, 71,187
Foard County,TX, 70,199
Fort Bend County,TX, 35,231
Franklin County,TX, 64,236
Freestone County,TX, 52,228
Frio County,TX, 29,205
Gaines County,TX, 60,176
Galveston County,TX, 35,241
Garza County,TX, 64,187
Gillespie County,TX, 41,206
Glasscock County,TX, 53,185
Goliad County,TX, 28,218
Gonzales County,TX, 34,218
Gray County,TX, 82,191
Grayson County,TX, 68,224
Gregg County,TX, 58,239
Grimes County,TX, 43,230
Guadalupe County,TX, 35,214
Hale County,TX, 71,183
Hall County,TX, 75,192
Hamilton County,TX, 52,213
Hansford County,TX, 89,187
Hardeman County,TX, 73,200
Hardin County,TX, 41,242
Harris County,TX, 37,234
Harrison County,TX, 59,243
Hartley County,TX, 85,177
Haskell County,TX, 64,200
Hays County,TX, 39,213
Hemphill County,TX, 85,195
Henderson County,TX, 56,231
Hidalgo County,TX, 10,212
Hill County,TX, 54,220
Hockley County,TX, 67,179
Hood County,TX, 58,215
Hopkins County,TX, 64,233
Houston County,TX, 49,234
Howard County,TX, 57,186
Hudspeth County,TX, 50,154
Hunt County,TX, 63,229
Hutchinson County,TX, 85,187
Irion County,TX, 49,190
Jack County,TX, 64,212
Jackson County,TX, 30,225
Jasper County,TX, 44,245
Jeff Davis County,TX, 44,164
Jefferson County,TX, 38,244
Jim Hogg County,TX, 15,208
Jim Wells County,TX, 20,213
Johnson County,TX, 58,219
Jones County,TX, 60,198
Karnes County,TX, 30,215
Kaufman County,TX, 59,227
Kendall County,TX, 38,208
Kenedy County,TX, 14,216
Kent County,TX, 64,191
Kerr County,TX, 39,203
Kimble County,TX, 42,200
King County,TX, 67,195
Kinney County,TX, 33,194
Kleberg County,TX, 18,215
Knox County,TX, 67,200
Lamar County,TX, 68,233
Lamb County,TX, 71,179
Lampasas County,TX, 48,212
La Salle County,TX, 25,205
Lavaca County,TX, 34,222
Lee County,TX, 41,222
Leon County,TX, 49,230
Liberty County,TX, 40,239
Limestone County,TX, 51,225
Lipscomb County,TX, 89,195
Live Oak County,TX, 25,213
Llano County,TX, 44,208
Loving County,TX, 53,169
Lubbock County,TX, 67,183
Lynn County,TX, 64,183
McCulloch County,TX, 48,203
McLennan County,TX, 51,220
McMullen County,TX, 25,209
Madison County,TX, 46,230
Marion County,TX, 61,243
Martin County,TX, 57,182
Mason County,TX, 44,204
Matagorda County,TX, 29,230
Maverick County,TX, 28,195
Medina County,TX, 33,205
Menard County,TX, 46,199
Midland County,TX, 53,181
Milam County,TX, 45,222
Mills County,TX, 50,209
Mitchell County,TX, 57,190
Montague County,TX, 68,216
Montgomery County,TX, 41,233
Moore County,TX, 85,182
Morris County,TX, 63,240
Motley County,TX, 71,191
Nacogdoches County,TX, 51,241
Navarro County,TX, 55,226
Newton County,TX, 45,248
Nolan County,TX, 57,194
Nueces County,TX, 20,216
Ochiltree County,TX, 89,191
Oldham County,TX, 82,177
Orange County,TX, 39,246
Palo Pinto County,TX, 61,211
Panola County,TX, 56,243
Parker County,TX, 61,215
Parmer County,TX, 75,175
Pecos County,TX, 45,176
Polk County,TX, 45,239
Potter County,TX, 82,182
Presidio County,TX, 38,164
Rains County,TX, 61,231
Randall County,TX, 78,182
Reagan County,TX, 49,185
Real County,TX, 37,199
Red River County,TX, 67,237
Reeves County,TX, 49,168
Refugio County,TX, 25,220
Roberts County,TX, 85,191
Robertson County,TX, 47,225
Rockwall County,TX, 62,226
Runnels County,TX, 53,198
Rusk County,TX, 55,239
Sabine County,TX, 49,247
San Augustine County,TX, 50,244
San Jacinto County,TX, 43,236
San Patricio County,TX, 23,217
San Saba County,TX, 48,207
Schleicher County,TX, 46,193
Scurry County,TX, 60,190
Shackelford County,TX, 60,203
Shelby County,TX, 53,244
Sherman County,TX, 89,182
Smith County,TX, 58,235
Somervell County,TX, 56,215
Starr County,TX, 11,208
Stephens County,TX, 60,207
Sterling County,TX, 53,189
Stonewall County,TX, 64,195
Sutton County,TX, 42,193
Swisher County,TX, 75,184
Tarrant County,TX, 61,219
Taylor County,TX, 57,198
Terrell County,TX, 40,181
Terry County,TX, 64,179
Throckmorton County,TX, 64,204
Titus County,TX, 64,238
Tom Green County,TX, 50,194
Travis County,TX, 41,215
Trinity County,TX, 47,236
Tyler County,TX, 45,242
Upshur County,TX, 60,238
Upton County,TX, 49,181
Uvalde County,TX, 33,199
Val Verde County,TX, 38,188
Van Zandt County,TX, 59,231
Victoria County,TX, 29,222
Walker County,TX, 44,233
Waller County,TX, 39,230
Ward County,TX, 51,173
Washington County,TX, 40,226
Webb County,TX, 21,203
Wharton County,TX, 33,228
Wheeler County,TX, 82,195
Wichita County,TX, 70,208
Wilbarger County,TX, 71,204
Willacy County,TX, 10,216
Williamson County,TX, 44,217
Wilson County,TX, 32,213
Winkler County,TX, 53,173
Wise County,TX, 64,216
Wood County,TX, 61,234
Yoakum County,TX, 64,175
Young County,TX, 64,208
Zapata County,TX, 15,204
Zavala County,TX, 29,199
Beaver County,UT,105, 92
Box Elder County,UT,131, 93
Cache County,UT,132,104
Carbon County,UT,116,113
Daggett County,UT,126,121
Davis County,UT,126,101
Duchesne County,UT,121,114
Emery County,UT,110,112
Garfield County,UT,101,106
Grand County,UT,110,121
Iron County,UT,101, 91
Juab County,UT,116, 95
Kane County,UT, 97,102
Millard County,UT,111, 93
Morgan County,UT,127,105
Piute County,UT,105,100
Rich County,UT,132,108
Salt Lake County,UT,124,102
San Juan County,UT,100,119
Sanpete County,UT,113,105
Sevier County,UT,108,103
Summit County,UT,125,110
Tooele County,UT,122, 92
Uintah County,UT,119,121
Utah County,UT,119,104
Wasatch County,UT,121,108
Washington County,UT, 97, 89
Wayne County,UT,105,110
Weber County,UT,129,102
Addison County,VT,151,412
Bennington County,VT,143,413
Caledonia County,VT,154,421
Chittenden County,VT,154,413
Essex County,VT,156,424
Franklin County,VT,157,414
Grand Isle County,VT,157,410
Lamoille County,VT,155,416
Orange County,VT,151,418
Orleans County,VT,157,420
Rutland County,VT,147,413
Washington County,VT,153,417
Windham County,VT,142,416
Windsor County,VT,147,417
Accomack County,VA,101,393
Albemarle County,VA,103,370
Alleghany County,VA,101,358
Amelia County,VA, 97,374
Amherst County,VA, 99,364
Appomattox County,VA, 97,367
Arlington County,VA,110,381
Augusta County,VA,103,366
Bath County,VA,103,360
Bedford County,VA, 97,361
Bland County,VA, 96,348
Botetourt County,VA, 99,359
Brunswick County,VA, 93,375
Buchanan County,VA, 97,341
Buckingham County,VA, 99,369
Campbell County,VA, 96,365
Caroline County,VA,103,379
Carroll County,VA, 92,352
Charles City County,VA, 97,381
Charlotte County,VA, 95,368
Chesterfield County,VA, 98,377
Clarke County,VA,111,374
Craig County,VA, 98,356
Culpeper County,VA,106,374
Cumberland County,VA, 99,372
Dickenson County,VA, 96,339
Dinwiddie County,VA, 95,376
Essex County,VA,102,382
Fairfax County,VA,109,379
Fauquier County,VA,108,375
Floyd County,VA, 94,355
Fluvanna County,VA,101,371
Franklin County,VA, 94,358
Frederick County,VA,112,372
Giles County,VA, 97,352
Gloucester County,VA, 98,385
Goochland County,VA,100,374
Grayson County,VA, 92,348
Greene County,VA,105,370
Greensville County,VA, 92,377
Halifax County,VA, 93,366
Hanover County,VA,101,378
Henrico County,VA, 99,378
Henry County,VA, 92,359
Highland County,VA,105,361
Isle of Wight County,VA, 94,384
James City County,VA, 97,383
King and Queen County,VA,100,382
King George County,VA,105,380
King William County,VA,100,381
Lancaster County,VA,100,386
Lee County,VA, 92,332
Loudoun County,VA,111,376
Louisa County,VA,102,374
Lunenburg County,VA, 94,372
Madison County,VA,106,371
Mathews County,VA, 98,387
Mecklenburg County,VA, 92,371
Middlesex County,VA,100,385
Montgomery County,VA, 96,354
Nelson County,VA,101,366
New Kent County,VA, 99,381
Northampton County,VA, 98,390
Northumberland County,VA,102,386
Nottoway County,VA, 96,373
Orange County,VA,104,373
Page County,VA,107,370
Patrick County,VA, 92,355
Pittsylvania County,VA, 93,362
Powhatan County,VA, 99,374
Prince Edward County,VA, 96,370
Prince George County,VA, 96,380
Prince William County,VA,109,378
Pulaski County,VA, 95,352
Rappahannock County,VA,108,372
Richmond County,VA,102,384
Roanoke County,VA, 97,358
Rockbridge County,VA,100,363
Rockingham County,VA,106,367
Russell County,VA, 94,341
Scott County,VA, 92,337
Shenandoah County,VA,109,369
Smyth County,VA, 93,345
Southampton County,VA, 92,381
Spotsylvania County,VA,104,376
Stafford County,VA,106,378
Surry County,VA, 95,382
Sussex County,VA, 94,379
Tazewell County,VA, 96,345
Warren County,VA,110,372
Washington County,VA, 92,342
Westmoreland County,VA,103,383
Wise County,VA, 94,336
Wythe County,VA, 94,349
York County,VA, 96,385
Alexandria City,VA,109,381
Bedford City,VA, 97,361
Bristol City,VA, 91,340
Buena Vista City,VA,100,363
Charlottesville City,VA,103,370
Chesapeake City,VA, 92,387
Colonial Heights City,VA, 97,378
Covington City,VA,101,358
Danville City,VA, 91,362
Emporia City,VA, 92,377
Fairfax City,VA,109,379
Falls Church City,VA,110,380
Franklin City,VA, 92,382
Fredericksburg City,VA,105,378
Galax City,VA, 92,350
Hampton City,VA, 95,387
Harrisonburg City,VA,106,367
Hopewell City,VA, 97,379
Lexington City,VA,101,362
Lynchburg City,VA, 98,364
Manassas City,VA,108,378
Manassas Park City,VA,109,378
Martinsville City,VA, 92,359
Newport News City,VA, 95,386
Norfolk City,VA, 93,387
Norton City,VA, 94,336
Petersburg City,VA, 96,378
Poquoson City,VA, 95,387
Portsmouth City,VA, 93,387
Radford City,VA, 95,353
Richmond City,VA, 99,378
Roanoke City,VA, 97,358
Salem City,VA, 97,357
Staunton City,VA,104,365
Suffolk City,VA, 92,384
Virginia Beach City,VA, 93,389
Waynesboro City,VA,103,366
Williamsburg City,VA, 97,384
Winchester City,VA,112,372
Adams County,WA,174, 49
Asotin County,WA,168, 60
Benton County,WA,168, 41
Chelan County,WA,181, 33
Clallam County,WA,183, 10
Clark County,WA,165, 18
Columbia County,WA,169, 54
Cowlitz County,WA,168, 16
Douglas County,WA,180, 40
Ferry County,WA,186, 49
Franklin County,WA,171, 46
Garfield County,WA,170, 57
Grant County,WA,176, 42
Grays Harbor County,WA,176,  7
Island County,WA,184, 17
Jefferson County,WA,180,  9
King County,WA,178, 23
Kitsap County,WA,179, 16
Kittitas County,WA,175, 32
Klickitat County,WA,165, 31
Lewis County,WA,171, 18
Lincoln County,WA,179, 50
Mason County,WA,177, 12
Okanogan County,WA,187, 40
Pacific County,WA,171,  8
Pend Oreille County,WA,187, 59
Pierce County,WA,176, 18
San Juan County,WA,188, 16
Skagit County,WA,186, 24
Skamania County,WA,167, 22
Snohomish County,WA,183, 24
Spokane County,WA,179, 58
Stevens County,WA,186, 55
Thurston County,WA,174, 15
Wahkiakum County,WA,169, 10
Walla Walla County,WA,168, 50
Whatcom County,WA,189, 24
Whitman County,WA,174, 57
Yakima County,WA,170, 32
Barbour County,WV,112,357
Berkeley County,WV,114,373
Boone County,WV,103,344
Braxton County,WV,108,352
Brooke County,WV,121,353
Cabell County,WV,106,340
Calhoun County,WV,109,349
Clay County,WV,106,349
Doddridge County,WV,113,352
Fayette County,WV,103,349
Gilmer County,WV,110,351
Grant County,WV,111,364
Greenbrier County,WV,102,354
Hampshire County,WV,113,369
Hancock County,WV,123,353
Hardy County,WV,111,367
Harrison County,WV,113,354
Jackson County,WV,109,344
Jefferson County,WV,113,375
Kanawha County,WV,105,345
Lewis County,WV,110,353
Lincoln County,WV,104,341
Logan County,WV,101,342
McDowell County,WV, 98,344
Marion County,WV,115,356
Marshall County,WV,117,352
Mason County,WV,109,341
Mercer County,WV, 98,349
Mineral County,WV,114,366
Mingo County,WV,100,340
Monongalia County,WV,116,357
Monroe County,WV, 99,353
Morgan County,WV,115,371
Nicholas County,WV,105,351
Ohio County,WV,119,353
Pendleton County,WV,108,363
Pleasants County,WV,113,348
Pocahontas County,WV,105,357
Preston County,WV,114,360
Putnam County,WV,107,342
Raleigh County,WV,101,348
Randolph County,WV,109,358
Ritchie County,WV,112,349
Roane County,WV,108,347
Summers County,WV,100,351
Taylor County,WV,113,357
Tucker County,WV,111,361
Tyler County,WV,114,350
Upshur County,WV,110,356
Wayne County,WV,104,338
Webster County,WV,106,354
Wetzel County,WV,115,352
Wirt County,WV,111,346
Wood County,WV,112,345
Wyoming County,WV, 99,345
Adams County,WI,150,279
Ashland County,WI,170,271
Barron County,WI,162,263
Bayfield County,WI,171,269
Brown County,WI,154,293
Buffalo County,WI,154,263
Burnett County,WI,165,259
Calumet County,WI,151,292
Chippewa County,WI,159,267
Clark County,WI,156,273
Columbia County,WI,146,283
Crawford County,WI,144,270
Dane County,WI,143,282
Dodge County,WI,146,288
Door County,WI,158,299
Douglas County,WI,170,262
Dunn County,WI,158,262
Eau Claire County,WI,156,267
Florence County,WI,165,290
Fond du Lac County,WI,149,290
Forest County,WI,164,287
Grant County,WI,141,272
Green County,WI,140,281
Green Lake County,WI,149,285
Iowa County,WI,143,276
Iron County,WI,169,276
Jackson County,WI,153,271
Jefferson County,WI,143,287
Juneau County,WI,150,277
Kenosha County,WI,139,293
Kewaunee County,WI,155,297
La Crosse County,WI,150,269
Lafayette County,WI,140,276
Langlade County,WI,161,285
Lincoln County,WI,161,280
Manitowoc County,WI,151,295
Marathon County,WI,158,279
Marinette County,WI,162,293
Marquette County,WI,149,282
Menominee County,WI,159,288
Milwaukee County,WI,143,294
Monroe County,WI,150,273
Oconto County,WI,159,291
Oneida County,WI,164,281
Outagamie County,WI,154,290
Ozaukee County,WI,146,294
Pepin County,WI,155,261
Pierce County,WI,156,258
Polk County,WI,162,258
Portage County,WI,154,281
Price County,WI,164,275
Racine County,WI,140,293
Richland County,WI,146,274
Rock County,WI,140,285
Rusk County,WI,162,268
Saint Croix County,WI,159,258
Sauk County,WI,146,278
Sawyer County,WI,166,268
Shawano County,WI,157,287
Sheboygan County,WI,148,294
Taylor County,WI,160,273
Trempealeau County,WI,153,267
Vernon County,WI,147,271
Vilas County,WI,167,281
Walworth County,WI,140,289
Washburn County,WI,166,263
Washington County,WI,145,292
Waukesha County,WI,143,291
Waupaca County,WI,154,286
Waushara County,WI,151,284
Winnebago County,WI,151,288
Wood County,WI,154,277
Albany County,WY,132,152
Big Horn County,WY,155,134
Campbell County,WY,152,153
Carbon County,WY,132,142
Converse County,WY,142,153
Crook County,WY,155,161
Fremont County,WY,143,128
Goshen County,WY,135,163
Hot Springs County,WY,148,130
Johnson County,WY,151,145
Laramie County,WY,129,160
Lincoln County,WY,137,112
Natrona County,WY,142,143
Niobrara County,WY,143,162
Park County,WY,155,121
Platte County,WY,136,158
Sheridan County,WY,157,142
Sublette County,WY,141,118
Sweetwater County,WY,132,126
Teton County,WY,150,113
Uinta County,WY,129,113
Washakie County,WY,150,136
Weston County,WY,149,161
